
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001641                       # Number of seconds simulated (Second)
simTicks                                   1641494000                       # Number of ticks simulated (Tick)
finalTick                                  1641494000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     13.95                       # Real time elapsed on the host (Second)
hostTickRate                                117649302                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1300364                       # Number of bytes of host memory used (Byte)
simInsts                                      2266670                       # Number of instructions simulated (Count)
simOps                                        3987296                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   162456                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     285776                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3282989                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.448375                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.690429                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         5051558                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1429                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        4663010                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   2475                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              1065685                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           2370294                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 295                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2809012                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.660018                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.215819                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1501435     53.45%     53.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    218465      7.78%     61.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    234726      8.36%     69.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    242027      8.62%     78.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    212500      7.56%     85.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    156267      5.56%     91.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    133109      4.74%     96.07% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     64841      2.31%     98.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     45642      1.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2809012                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   42524     69.48%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     3      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     69.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                      4      0.01%     69.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     69.49% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                    151      0.25%     69.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     69.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                    163      0.27%     70.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                    10      0.02%     70.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     70.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     70.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     70.02% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   42      0.07%     70.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     70.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     70.09% # attempts to use FU when none available (Count)
